date,mwl,mwq,diff,outletRiver_m3s,nmkRiver,ptRiver,mqRiver,kmtRiver,mphRiver,right_m3s,left_m3s,spillway_m3s,servicePipeline_m3s,cleanWater_m3,rainfall_mm,vapor_mm,vapor_m3,inflow_m3,outflow_m3
8/1/2015,354.53,28.5,0,6.54,0,2.82,0.7,2.82,0.2,1.99,6.27,0,0.04,35000,2.6,4.07,16238,274066,1281828
8/2/2015,354.21,27.47,0,6.54,0,2.82,0.7,2.82,0.2,1.59,6.86,0,0.04,35000,17.2,4.07,15812,370132,1298320
8/3/2015,353.92,26.53,0,6.5,0,2.8,0.7,2.8,0.2,1.94,6.82,0,0.04,40000,0.4,4.07,15390,328728,1321338
8/4/2015,353.6,25.52,0,6.6,0,2.85,0.7,2.85,0.2,1.88,6.4,0,0.04,32000,1,4.07,14985,439329,1288344
8/5/2015,353.33,24.66,0,6.24,0,2.67,0.7,2.67,0.2,1.57,6.21,0,0.04,31000,0.6,4.07,14742,972732,1213990
8/6/2015,353.25,24.4,0,6.06,0,2.58,0.7,2.58,0.2,1.47,6.17,0,0.04,34000,30.5,4.07,14576,688961,1186385
8/7/2015,353.09,23.89,0,5.78,0,2.49,0.7,2.49,0.2,0.1,5.37,0,0.04,31000,15.3,4.07,14361,509408,975047
8/8/2015,352.94,23.41,0,6.26,0,2.73,0.6,2.73,0.2,0,5.69,0,0.04,33000,1.4,4.07,14146,534067,1034921
8/9/2015,352.78,22.89,0,5.72,0,2.46,0.6,2.46,0.2,0,5.33,0,0.04,35000,0,4.07,13897,333838,956941
8/10/2015,352.58,22.26,0,0,0,0,0,0,0,0,0.36,0,0.04,31000,0.7,4.07,13793,207793,34000
8/11/2015,352.63,22.42,0,0,0,0,0,0,0,0,0.38,0,0.04,33000,15.7,4.07,13960,657960,36000
8/12/2015,352.82,23.02,0,0,0,0,0,0,0,0,0.37,0,0.04,32000,6.9,4.07,14167,401167,35000
8/13/2015,352.93,23.38,0,0,0,0,0,0,0,0,0.32,0,0.04,28000,13,4.07,14417,845417,31000
8/14/2015,353.18,24.18,0,0,0,0,0,0,0,0,0.27,0,0.04,23000,2.2,4.07,14901,1480901,26000
8/15/2015,353.63,25.62,0,0,0,0,0,0,0,0,0.36,0,0.04,31000,1.6,4.07,14435,1073435,34000
8/16/2015,353.95,26.64,0,0,0,0,0,0,0,0,0.35,0,0.04,30000,2.1,4.07,15847,928847,33000
8/17/2015,354.23,27.52,0,0,0,0,0,0,0,0,0.34,0,0.04,29000,1,4.07,16165,640165,32000
8/18/2015,354.41,28.11,0,0,0,0,0,0,0,0,0.34,0,0.04,29000,2.6,4.07,16411,592411,32000
8/19/2015,354.58,28.66,0,0,0,0,0,0,0,0,0.34,0,0.04,29000,0.2,4.07,16619,464619,32000
8/20/2015,354.71,29.07,0,0,0,0,0,0,0,0,0.38,0,0.04,33000,0,4.07,16785,404785,36000
8/21/2015,354.82,29.42,0,0,0,0,0,0,0,0,0.34,0,0.04,29000,0,4.07,16938,400938,32000
8/22/2015,354.93,29.78,0,0,0,0,0,0,0,0,0.34,0,0.04,29000,0,4.07,17091,470091,32000
8/23/2015,355.04,30.2,0,0,0,0,0,0,0,0,0.34,0,0.04,29000,0,4.07,17186,462186,32000
8/24/2015,355.13,30.61,0,0,0,0,0,0,0,0,0.35,0,0.04,30000,0,4.07,17257,400257,33000
8/25/2015,355.2,30.96,0,0,0,0,0,0,0,0,0.36,0,0.04,31000,0,4.07,17321,387321,34000
8/26/2015,355.27,31.3,0,0,0,0,0,0,0,0,0.34,0,0.04,29000,0,4.07,17371,241371,32000
8/27/2015,355.31,31.49,0,0,0,0,0,0,0,0,0.35,0,0.04,30000,0,4.07,17408,256408,33000
8/28/2015,355.35,31.69,0,0,0,0,0,0,0,0,0.34,0,0.04,29000,0,4.07,17442,203442,32000
8/29/2015,355.39,31.85,0,0,0,0,0,0,0,0,0.36,0,0.04,31000,0,4.07,17472,219472,34000
8/30/2015,355.42,32.02,0,0,0,0,0,0,0,0,0.34,0,0.04,29000,0,4.07,17501,193501,32000
8/31/2015,355.45,32.16,0,0,0,0,0,0,0,0,0.36,0,0.04,31000,2.5,4.07,17525,171525,34000
9/1/2015,355.48,32.28,0,0,0,0,0,0,0,0,0.32,0,0.04,28000,0,4.29,18496,217496,31000
9/2/2015,355.51,32.45,0,0,0,0,0,0,0,0,0.36,0,0.04,31000,4.3,4.29,18544,378544,34000
9/3/2015,355.58,32.77,0,2.56,0,1.12,0.32,1.12,0,0,1.97,0,0.04,30000,27.5,4.29,18606,710883,394277
9/4/2015,355.64,33.07,0,5.02,0,2.07,0.7,2.07,0.18,1.79,3.63,0,0.04,30000,0,4.29,18635,923294,904659
9/5/2015,355.64,33.07,0,5,0,2.05,0.7,2.05,0.2,1.76,3.58,0,0.04,30000,2.4,4.29,18574,290085,895511
9/6/2015,355.51,32.45,0,4.8,0,2.01,0.7,2.01,0.08,1.13,3.44,0,0.04,29000,1,4.29,18437,62974,812537
9/7/2015,355.35,31.68,0,4.91,0,2.04,0.7,2.04,0.13,1.9,3.49,0,0.04,29000,0,4.29,18281,95945,893664
9/8/2015,355.18,30.86,0,4.75,0,1.96,0.7,1.96,0.13,1.28,3.33,0,0.04,30000,0,4.29,18251,61531,811406
9/9/2015,355.02,30.1,0,4.81,0,1.99,0.7,1.99,0.13,1,3.32,0,0.04,30000,0,4.29,17932,217663,791731
9/10/2015,354.85,29.5,0,4.81,0,1.99,0.7,1.99,0.13,0.99,3.28,0,0.04,28000,6.7,4.29,17702,357632,787930
9/11/2015,354.71,29.06,0,4.81,0,1.96,0.7,1.96,0.19,0.97,3.2,0,0.04,28000,0,4.29,17490,313625,779135
9/12/2015,354.53,28.57,0,4.78,0,1.94,0.7,1.94,0.2,0.94,3.14,0,0.04,28000,0,4.29,17277,335206,768929
9/13/2015,354.41,28.12,0,2.24,0,0.86,0.32,0.86,0.2,0.94,3.12,0,0.04,28000,1.1,4.29,17110,281320,546210
9/14/2015,354.33,27.84,0,0.02,0,0,0,0,0.02,0.07,3.08,0,0.04,27000,0,4.29,17034,246138,277104
9/15/2015,354.31,27.79,0,0,0,0,0,0,0,0,3.12,0,0.04,28000,0,4.29,17016,257843,272827
9/16/2015,354.3,27.76,0,0,0,0,0,0,0,0,2.93,0,0.04,27000,0,4.29,16994,205918,255924
9/17/2015,354.28,27.69,0,0,0,0,0,0,0,0,0.64,0,0.04,28000,5.2,4.29,17001,111513,58512
9/18/2015,354.31,27.73,0,0,0,0,0,0,0,0,0.3,0,0.04,26000,30,4.29,17177,781177,29000
9/19/2015,354.52,28.46,0,0,0,0,0,0,0,0,0.27,0,0.04,23000,5.6,4.29,17485,721485,26000
9/20/2015,354.73,29.14,0,0,0,0,0,0,0,0,0.29,0,0.04,25000,0,4.29,17726,423726,28000
9/21/2015,354.85,29.52,0,0,0,0,0,0,0,0,0.27,0,0.04,23000,0,4.29,17870,299870,26000
9/22/2015,354.93,29.78,0,0,0,0,0,0,0,0,0.25,0,0.04,22000,0,4.29,17980,266980,25000
9/23/2015,355,30,0,0,0,0,0,0,0,0,0.3,0,0.04,26000,0,4.29,18059,335074,29000
9/24/2015,355.06,30.29,0,0,0,0,0,0,0,0,0.37,0,0.04,32000,0.6,4.29,18104,221104,35000
9/25/2015,355.1,30.46,0,0,0,0,0,0,0,0,0.35,0,0.04,33000,0,4.29,18142,270142,36000
9/26/2015,355.14,30.67,0,0,0,0,0,0,0,0,0.38,0,0.04,33000,0,4.29,18184,270184,36000
9/27/2015,355.19,30.89,0,0,0,0,0,0,0,0,0.37,0,0.04,32000,0.2,4.29,18230,307230,35000
9/28/2015,355.24,31.14,0,0,0,0,0,0,0,0,0.38,0,0.04,33000,0.2,4.29,18282,328282,36000
9/29/2015,355.3,31.42,0,0,0,0,0,0,0,0,0.38,0,0.04,33000,3.1,4.29,18333,294333,36000
9/30/2015,355.35,31.66,0,0,0,0,0,0,0,0,0.35,0,0.04,30000,0,4.29,18375,243375,33000
10/1/2015,355.39,31.85,0,0,0,0,0,0,0,0,0.38,0,0.04,33000,3.6,4.16,17884,629884,36000
10/2/2015,355.51,32.42,0,0,0,0,0,0,0,0,0.38,0,0.04,33000,0,4.16,17989,581989,36000
10/3/2015,355.62,32.95,0,0,0,0,0,0,0,0,0.38,0,0.04,33000,0,4.16,18080,486080,36000
10/4/2015,355.71,33.38,0,0,0,0,0,0,0,0,0.37,0,0.04,32000,60.4,4.16,17176,629176,35000
10/5/2015,355.83,33.96,0,0,0,0,0,0,0,0,0.36,0,0.04,31000,0,4.16,18268,436268,34000
10/6/2015,355.91,34.34,0,0,0,0,0,0,0,0,0.39,0,0.04,34000,0.7,4.16,18330,319330,37000
10/7/2015,355.96,34.61,0,0,0,0,0,0,0,0,0.39,0,0.04,34000,0,4.16,18373,247373,37000
10/8/2015,356,34.8,0,0,0,0,0,0,0,0,0.39,0,0.04,34000,0.2,4.16,18415,295415,37000
10/9/2015,356.05,35.04,0,2.66,0,1.11,0.33,1.11,0.11,0.8,2.12,0,0.04,33000,1.6,4.16,18421,334075,483654
10/10/2015,356.02,34.87,0,4.8,0,2,0.6,2,0.2,2,3.61,0,0.04,34000,16.5,4.16,18344,273029,902685
10/11/2015,355.88,34.22,0,1.95,0,0.21,0.51,1.1,0.13,1.87,0.79,0,0.04,33000,2.4,4.16,18291,515120,400829
10/12/2015,355.9,34.32,0,1.59,0,0,0.5,0.99,0.1,1.94,0.39,0,0.04,34000,0.5,4.16,18307,432552,342245
10/13/2015,355.92,34.39,0,4.21,0,1.62,0.58,1.81,0.1,1.98,0.37,0,0.04,32000,0,4.16,18277,195417,561140
10/14/2015,355.84,34.01,0,4.72,0,2.01,0.6,2.01,0.1,1.36,0.39,0,0.04,34000,0,4.16,18204,196185,561981
10/15/2015,355.76,33.62,0,4.67,0,1.94,0.6,1.94,0.19,1,3.23,0,0.04,32000,3,4.16,18110,190028,771918
10/16/2015,355.63,33.02,0,4.52,0,1.86,0.6,1.86,0.2,0.94,3.54,0,0.04,33000,0,4.16,17991,149688,779697
10/17/2015,355.5,32.38,0,4.36,0,1.78,0.6,1.78,0.2,0.98,3.5,0,0.04,33000,0,4.16,17870,159637,765767
10/18/2015,355.37,31.75,0,4.26,0,1.73,0.6,1.73,0.2,0.97,3.49,0,0.04,33000,0,4.16,17765,295394,757629
10/19/2015,355.27,31.27,0,4.16,0,1.68,0.6,1.68,0.2,0.14,3.45,0,0.04,35000,0,4.16,17678,257589,671911
10/20/2015,355.18,30.84,0,4.16,0,1.68,0.6,1.68,0.2,0,3.42,0,0.04,34000,0.1,4.16,17620,506917,657297
10/21/2015,355.14,30.67,0,4.03,0,1.83,0.28,1.83,0.09,0,3.4,0,0.04,33000,0,4.16,17588,495103,645515
10/22/2015,355.11,30.5,0,1.02,0,0.12,0,0.9,0,0,3.3,0,0.04,32000,0,4.16,17596,355363,375794
10/23/2015,355.1,30.47,0,0,0,0,0,0,0,0,1.85,0,0.04,34000,0,4.16,17582,362353,162771
10/24/2015,355.14,30.65,0,0,0,0,0,0,0,0,0,0,0.04,35000,1.8,4.16,17630,367630,38000
10/25/2015,355.2,30.96,0,0,0,0,0,0,0,0,0,0,0.04,35000,0,4.16,17684,319684,38000
10/26/2015,355.26,31.22,0,0,0,0,0,0,0,0,0.41,0,0.04,34000,0,4.16,17728,282250,72522
10/27/2015,355.3,31.42,0,0,0,0,0,0,0,0,0.57,0,0.04,31000,0,4.16,17760,244801,83041
10/28/2015,355.33,31.56,0,0,0,0,0,0,0,0,0.44,0,0.04,35000,0,4.16,17799,322407,40608
10/29/2015,355.38,31.82,0,0,0,0,0,0,0,0,0.37,0,0.04,32000,0,4.16,17838,196838,35000
10/30/2015,355.41,31.97,0,0,0,0,0,0,0,0,0.38,0,0.04,33000,0,4.16,17869,240869,36000
10/31/2015,355.45,32.16,0,0,0,0,0,0,0,0,0.38,0,0.04,33000,5.7,4.16,17908,374908,36000
11/1/2015,355.5,32.38,0,0,0,0,0,0,0,0,0.39,0,0.04,34000,0,3.56,15376,196943,37000
11/2/2015,355.53,32.52,0,0,0,0,0,0,0,0,0.41,0,0.04,35000,0,3.56,15376,207376,38000
11/3/2015,355.56,32.67,0,0,0,0,0,0,0,0,0.39,0,0.04,34000,7.8,3.56,15409,301409,37000
11/4/2015,355.61,32.92,0,0,0,0,0,0,0,0,0.37,0,0.04,32000,0,3.56,15445,252445,35000
11/5/2015,355.65,33.13,0,4.46,0,1.85,0.56,1.85,0.19,1.84,1.12,0,0.04,33000,0,3.56,15414,72547,643133
11/6/2015,355.53,32.54,0,4.72,0,1.96,0.6,1.96,0.2,2.02,1.21,0,0.04,34000,0,3.56,15316,86099,689783
11/7/2015,355.4,31.92,0,4.6,0,1.9,0.6,1.9,0.2,3.5,1.95,0,0.04,33000,0,3.56,15195,21908,870713
11/8/2015,355.22,31.06,0,4.42,0,1.81,0.6,1.81,0.2,3.6,1.86,0,0.04,34000,0,3.56,15077,295792,856715
11/9/2015,355.1,30.48,0,4.34,0,1.77,0.6,1.77,0.2,3.39,1.81,0,0.04,32000,0,3.56,14952,42401,827449
