date,mwl,mwq,spillway,serviceSpillway,outletRiver_m3s,right_m3s,left_m3s,elec_m3,elec_m3s,rainfall_m3,vapor_mm,vapor_m3,inflow_m3,outflow_m3s,outflow_m3
7/1/2015,375.53,62.238,,,0,2.3023,3.1766,90003,1.0417,0,5,19054,7434,6.7411,582434
7/2/2015,375.43,61.664,,,0,3.1694,2.2966,91696,1.0613,0,4,15147,5105,6.7026,579105
7/3/2015,375.33,61.09,,,0,3.1439,2.2557,1039463,12.0308,0,4,14865,4523,17.6565,1525523
7/4/2015,375.065,59.569,,,0,3.1197,2.2757,1046397,12.1111,0,5,18285,3935,17.7423,1532935
7/5/2015,374.732,58.04,,,0,3.1197,2.2565,87376,1.0113,0,6,21794,3674,6.6397,573674
7/6/2015,374.6,57.47,,,0,3.1102,2.2486,91601,1.0602,0,7,25237,0,6.7111,579838
7/7/2015,374.46,56.867,,,0,3.1002,2.2405,189995,2.199,3.1,0,0,0,7.5397,651431
7/8/2015,374.3,56.177,,,0,3.0882,2.2311,199800,2.3125,10.3,0,0,55387,7.6318,659387
7/9/2015,374.16,55.573,,,0,3.0779,1.5229,122099,1.4132,14,0,0,88612,6.014,519612
7/10/2015,374.06,55.142,,,0,2.9044,0.9293,595998,6.8981,40.2,0,0,108230,10.7318,927230
7/11/2015,373.87,54.323,,,0,2.8855,1.1867,127697,1.478,0,5,17393,143992,5.6596,488992
7/12/2015,373.79,53.978,,,0,2.7426,1.3926,0,0,0,5,17336,116614,4.3358,374614
7/13/2015,373.73,53.72,,,0,2.7107,1.7575,0,0,0,4,13815,97863,4.628,399863
7/14/2015,373.66,53.418,,,0,2.7061,1.7821,133397,1.5439,4.5,0,0,133177,6.0321,521177
7/15/2015,373.57,53.03,,,0,2.6998,1.7776,14217,0.1645,0,4,13695,112760,4.8005,414760
7/16/2015,373.5,52.728,,,0,2.6952,1.4751,0,0,8,0,0,101314,4.1703,360314
7/17/2015,373.44,52.469,,,0,2.6911,1.1752,120597,1.3958,3,0,0,109645,5.2621,454645
7/18/2015,373.36,52.124,,,0,2.6858,1.1726,66001,0.7639,3.3,0,0,141367,4.6223,399367
7/19/2015,373.3,51.866,,,0,2.6817,1.4912,97900,1.1331,0.7,1,3371,116811,5.345,461811
7/20/2015,373.22,51.521,,,0,2.6758,1.76,33100,0.3831,12.7,0,0,243353,4.8189,416353
7/21/2015,373.18,51.348,,,0,2.6731,1.7579,0,0,24.3,0,0,468839,4.431,382839
7/22/2015,373.2,51.434,,,0,2.6744,1.7588,0,0,25.5,0,0,772028,4.4332,383028
7/23/2015,373.29,51.823,,,0,2.681,1.4675,0,0,12.3,0,0,702430,4.1485,358430
7/24/2015,373.37,52.167,,,0,2.6864,1.173,0,0,0.1,2,6816,556268,3.9383,340268
7/25/2015,373.42,52.383,,,0,2.6898,1.1746,0,0,11.3,0,0,419884,3.8644,333884
7/26/2015,373.44,52.469,,,0,2.6911,1.4733,0,0,7.7,0,0,445804,4.1644,359604
7/27/2015,373.46,52.555,,,0,2.6925,1.7721,0,0,8.8,0,0,472741,4.4646,385741
7/28/2015,373.48,52.642,,,0,2.6939,1.773,0,0,2.5,0,0,557940,4.4669,385940
7/29/2015,373.52,52.814,,,0,2.6922,1.777,0,0,5.5,0,0,559347,4.4716,386349
7/30/2015,373.56,52.987,,,0,2.7022,1.1805,0,0,0.2,1,3443,562195,4.5161,390195
7/31/2015,373.6,53.159,,,0,2.7055,1.1822,0,0,7.5,0,0,551465,3.8827,335465
8/1/2015,373.65,53.375,,,0,2.7081,1.1835,0,0,3.4,0,0,507897,3.8877,335899
8/2/2015,373.69,53.547,,,0,2.7081,1.484,0,0,3.5,0,0,491197,4.1921,362197
8/3/2015,373.72,53.676,,,0,2.4857,1.7849,0,0,4.1,0,0,670981,4.2708,368981
8/4/2015,373.79,53.978,,,0,2.3534,1.7885,0,0,0,1,3497,792357,4.1824,361357
8/5/2015,373.89,54.409,,,0,2.3592,1.7933,0,0,0,4,14082,890858,4.3155,372858
8/6/2015,374.01,54.927,,,0,2.3661,1.7993,0,0,15.3,0,0,919891,4.1654,359891
8/7/2015,374.14,55.487,,,0,2.3738,1.198,0,0,0,4,14247,710850,3.7367,322850
8/8/2015,374.23,55.875,,,0,2.2725,1.201,0,0,0.5,4,14286,530393,3.6388,314393
8/9/2015,374.28,56.091,,,0,2.2655,1.5078,0,0,0,4,14316,512333,3.939,340333
8/10/2015,374.32,56.263,,,0,2.2676,1.8143,0,0,0,5,17914,456591,4.2892,370591
8/11/2015,374.34,56.349,,,0,2.1081,1.8151,0,0,6,0,0,511964,3.9232,338964
8/12/2015,374.38,56.522,,,0,2.1915,1.817,0,0,7,0,0,562335,4.0085,346335
8/13/2015,374.43,56.738,,,0,2.1941,1.4885,0,0,7.5,0,0,619174,3.6826,318174
8/14/2015,374.5,57.039,,,0,2.1977,1.2096,0,0,40,0,0,1157390,3.4073,294390
8/15/2015,374.7,57.902,,,0,2.1066,0.9261,0,0,1,0,0,1339019,3.0326,262019
8/16/2015,374.95,58.979,,,0,2.0112,0.8335,0,0,3.9,0,0,1495782,2.8447,245782
8/17/2015,375.18,60.229,,,0,2.2319,1.6261,0,0,0,3,11333,975664,3.9892,344664
8/18/2015,375.29,60.86,,,0,2.2374,1.6305,0,0,0,3,11390,805576,3.9997,345576
8/19/2015,375.37,61.32,,,0,2.2412,1.6339,0,0,0.6,2,7617,629426,3.9633,342426
8/20/2015,375.42,61.607,,,0,2.2438,1.2397,0,0,0.1,3,11462,599437,3.6162,312437
8/21/2015,375.47,61.894,,,0,2.2462,1.1356,0,0,3,0,0,579184,3.3818,292184
8/22/2015,375.52,62.181,,,0,2.2488,1.3449,0,0,0,3,11534,609029,3.7272,322029
8/23/2015,375.57,62.468,,,0,2.2511,1.5067,0,0,3.6,0,0,611672,3.7578,324672
8/24/2015,375.62,62.755,,,0,2.1806,1.6438,0,0,0,4,15435,403859,4.003,345859
8/25/2015,375.63,62.813,,,0,2.1706,1.6441,0,0,0.4,4,15435,345025,3.9933,345025
8/26/2015,375.63,62.813,,,0,2.1706,1.6441,0,0,0,5,19283,290873,4.0379,348873
8/27/2015,375.62,62.755,,,0,2.1701,1.3689,0,0,0,5,19260,211030,3.7619,325030
8/28/2015,375.6,62.641,,,0,2.1692,1.1358,0,0,0,4,15387,185939,3.4831,300939
8/29/2015,375.58,62.526,,,0,2.168,1.1352,0,0,0,4,15369,185765,3.4811,300765
8/30/2015,375.56,62.411,,,0,2.1671,1.4088,0,0,2,2,7670,144626,3.6647,316626
8/31/2015,375.53,62.239,,,0,2.1658,1.6402,0,0,2.3,0,0,155838,3.806,328838
9/1/2015,375.5,62.066,,,0,2.1645,1.8212,0,0,0,3,11462,183828,4.1184,355828
9/2/2015,375.47,61.894,,,0,2.2354,1.8682,0,0,5.3,0,0,182548,4.1036,354548
9/3/2015,375.44,61.722,,,0,2.2448,1.4681,0,0,0,4,15225,163018,3.8891,336018
9/4/2015,375.41,61.549,,,0,2.2434,1.1305,0,0,0,2,7613,299118,3.462,299118
9/5/2015,375.41,61.549,,,0,2.2434,1.1305,0,0,6.8,0,0,521505,3.3739,291505
9/6/2015,375.45,61.779,,,0,2.2452,1.4267,0,0,1.7,0,0,489248,3.6719,317248
9/7/2015,375.48,61.951,,,0,2.2467,1.6383,0,0,0,3,11484,462148,4.0179,347148
9/8/2015,375.5,62.066,,,0,2.2478,1.6389,0,0,0,4,15321,409132,4.064,351132
9/9/2015,375.51,62.124,,,0,2.2483,1.6395,0,0,0,5,19151,355057,4.1095,355057
9/10/2015,375.51,62.124,,,0,2.2483,1.3653,0,0,10.8,0,0,427211,3.6136,312211
9/11/2015,375.53,62.239,,,0,2.2492,1.1336,0,0,2,0,0,464291,3.383,292291
9/12/2015,375.56,62.411,,,0,2.2507,1.1347,0,0,8.7,0,0,522498,3.3854,292498
9/13/2015,375.6,62.641,,,0,2.2825,1.4108,0,0,5.8,0,0,603510,3.6633,316510
9/14/2015,375.65,62.928,,,0,2.2551,1.645,0,0,0,4,15483,524452,4.0793,352452
9/15/2015,375.68,63.1,,,0,2.2564,1.6462,0,0,0,4,15483,352668,4.0818,352688
9/16/2015,375.68,63.1,,,0,2.2564,1.6462,0,0,0,5,19331,241516,4.1263,356516
9/17/2015,375.66,62.985,,,0,2.2555,1.1804,0,0,13.8,0,0,296858,3.4359,296858
9/18/2015,375.66,62.985,,,0,2.2555,0.8482,0,0,39.2,0,0,728159,3.1037,268159
9/19/2015,375.74,63.445,,,0,1.1297,0.7439,0,0,0.1,3,11756,976641,2.0097,173641
9/20/2015,375.88,64.248,,,0,0,1.0798,0,0,0,4,16700,799083,1.2625,109083
9/21/2015,376,64.938,,,0,1.2869,1.3081,0,0,0,4,15849,584060,2.7785,240060
9/22/2015,376.06,65.282,,,0,2.0604,1.3101,0,0,0,5,19823,369035,3.5999,311035
9/23/2015,376.07,65.34,,,0,2.0608,1.3103,0,0,0,2,7929,299192,3.4629,299192
9/24/2015,376.07,65.34,,,0,2.0608,1.0645,0,0,0,4,15858,285883,3.3088,285883
